"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"ACAP2-201",91,93,70,107,127,102
"ACAP3-202",14,28,15,19,40,54
"ACAT1-201",93,118,76,158,203,179
"ACAT2-201",153,188,116,200,256,202
"ACBD3-201",242,301,158,321,379,295
"ACBD4-203",7,13,7,10,11,5
"ACBD5-204",45,54,25,61,67,46
"ACBD6-207",80,69,57,80,78,83
"ACBD7-201",0,0,0,1,3,1
"ACCS-201",1,5,0,4,2,7
"ACCSL-201",0,0,0,1,3,0
"ACD-201",38,34,25,45,50,47
"ACE-202",1,4,3,2,12,6
"ACE2-202",0,0,0,0,0,0
"ACER1-201",0,0,0,0,0,0
"ACER2-201",1,1,0,3,2,1
"ACER3-212",9,12,5,14,12,13
"ACHE-204",2,5,7,1,5,4
"ACIN1-201",547,615,419,637,709,568
"ACKR1-202",0,0,0,0,0,0
"ACKR2-201",0,2,0,0,0,0
"ACKR3-201",0,0,0,2,0,0
"ACKR4-201",5,2,3,5,4,1
"ACLY-201",1070,1304,963,1490,1749,1505
"ACMSD-201",1,0,0,1,0,0
"ACO1-201",58,83,40,77,119,83
"ACO2-201",120,149,101,180,215,179
"ACOD1-201",0,0,1,0,0,0
"ACOT1-201",1,0,5,0,2,1
"ACOT11-202",8,3,8,4,8,12
"ACOT12-201",1,0,0,0,0,0
"ACOT13-201",57,87,61,102,114,87
"ACOT2-201",5,10,6,13,20,9
"ACOT4-201",0,0,0,0,0,0
"ACOT6-203",1,0,0,0,2,1
"ACOT7-204",87,104,77,138,170,141
"ACOT8-201",13,19,12,20,45,20
"ACOT9-201",36,33,18,31,58,42
"ACOX1-202",31,36,33,39,54,47
"ACOX2-201",0,0,1,0,0,0
"ACOX3-201",16,13,4,15,8,15
"ACOXL-202",0,0,1,0,2,0
"ACP1-201",44,50,27,69,97,71
"ACP2-201",34,34,24,40,45,37
"ACP4-201",1,2,0,0,0,1
"ACP5-212",0,0,0,1,1,0
"ACP6-205",25,30,29,44,52,48
"ACP7-201",0,0,0,0,0,0
"ACPP-201",2,0,0,0,2,0
"ACR-201",0,2,0,2,1,0
"ACRBP-201",2,2,0,2,0,0
"ACRV1-204",0,1,2,1,0,0
"ACSBG1-201",0,0,0,0,0,0
"ACSBG2-202",1,0,0,1,0,0
"ACSF2-201",7,12,6,24,28,13
"ACSF3-218",28,29,18,37,42,30
"ACSL1-211",29,47,19,49,39,46
"ACSL3-201",124,159,87,139,195,146
"ACSL4-201",80,87,66,105,113,98
"ACSL5-204",2,0,0,0,1,0
"ACSL6-207",0,0,0,0,1,0
"ACSM1-201",0,0,0,0,0,0
"ACSM2A-209",0,0,0,0,0,0
"ACSM2B-201",0,0,0,0,0,0
"ACSM3-201",1,2,2,3,7,0
"ACSM4-201",0,0,1,0,0,0
"ACSM5-201",2,0,0,0,0,0
"ACSM6-202",0,0,0,0,0,0
"ACSS1-201",20,20,20,32,40,26
"ACSS2-202",18,14,14,25,22,18
"ACSS3-203",10,12,11,20,26,13
"ACTA1-202",6,1,2,1,5,1
"ACTA2-201",5,8,8,14,20,18
"ACTB-201",2889,3597,2322,4532,5625,4501
"ACTBL2-201",0,0,0,1,0,1
"ACTC1-201",1,0,2,1,0,0
"ACTG1-210",2776,3409,2030,3911,4799,3897
"ACTG2-202",0,1,0,0,0,1
"ACTL10-201",1,0,0,1,1,0
"ACTL6A-202",99,135,73,158,167,140
"ACTL6B-201",0,0,0,0,2,0
"ACTL7A-201",0,0,0,0,0,0
"ACTL7B-201",0,1,0,0,0,0
"ACTL8-201",2,1,1,3,1,3
"ACTL9-201",0,0,0,0,0,0
"ACTN1-201",230,244,185,364,372,312
"ACTN2-201",32,28,10,35,34,24
"ACTN3-203",1,0,0,0,0,0
"ACTN4-201",377,369,282,480,597,524
"ACTR10-201",69,70,42,67,103,91
